Position,Track Name,Artist,Streams,URL,Date,Track Id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
50,Pa' Olvidarme De Ella,Piso 21,140925,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh,2019-09-09,1cVlW9WQiGlFdWUXFdFZGh,0.259,0.728,227234,0.542,0.0,0,0.136,-5.195,1,0.0514,90.016,3,0.637
49,Oye Pablo,Danna Paola,152906,https://open.spotify.com/track/4wJFExEZZo62tmwTM9ENDR,2019-09-11,4wJFExEZZo62tmwTM9ENDR,0.0332,0.699,177747,0.65,5.24e-06,5,0.299,-4.281,0,0.171,179.84,4,0.52
27,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),Ariana Grande,224464,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN,2019-09-13,3NkJNL3WqO1Lqc3uNDxvCN,0.00268,0.643,190107,0.721,6.51e-06,1,0.0898,-5.248,1,0.0449,102.914,4,0.317
33,México En La Piel,Luis Miguel,179037,https://open.spotify.com/track/5BPq1UQa1NSN647R6IzD3n,2019-09-15,5BPq1UQa1NSN647R6IzD3n,0.43,0.483,209213,0.53,0.0,0,0.222,-6.989,1,0.0295,150.68,3,0.676
41,Sabes Una Cosa,Luis Miguel,152344,https://open.spotify.com/track/21Ullb4TU8qMsQd0Iselng,2019-09-16,21Ullb4TU8qMsQd0Iselng,0.268,0.437,200387,0.522,0.0,0,0.126,-7.048,1,0.031,169.366,3,0.72
50,Por Mujeres Como Tu,Pepe Aguilar,143422,https://open.spotify.com/track/0v8QpLDCw2n7ikFuiRKIx5,2019-09-16,0v8QpLDCw2n7ikFuiRKIx5,0.857,0.568,261132,0.291,1.63e-05,2,0.159,-7.73,1,0.0268,92.023,4,0.357
50,"Aleman: Bzrp Music Sessions, Vol. 15",Bizarrap,144433,https://open.spotify.com/track/7xRWmHZ2wt3zDgM5mAL0JU,2019-09-17,7xRWmHZ2wt3zDgM5mAL0JU,0.128,0.813,174178,0.884,2.34e-05,2,0.122,-4.817,1,0.119,126.892,4,0.646
47,Circles,Post Malone,159040,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,2019-09-18,21jGcNKet2qwijlDFuPiPb,0.192,0.695,215280,0.762,0.00244,0,0.0863,-3.497,1,0.0395,120.042,4,0.553
48,Tu Sicaria,Ms Nina,145305,https://open.spotify.com/track/6fatMybX8VmHUpaxVcXzrz,2019-09-23,6fatMybX8VmHUpaxVcXzrz,0.0527,0.752,146945,0.905,0.000242,0,0.173,-7.072,1,0.0515,97.993,4,0.689
48,Quizás,Rich Music LTD,157704,https://open.spotify.com/track/4AjWbAwRpxk2worpjNH5CS,2019-09-26,4AjWbAwRpxk2worpjNH5CS,0.0258,0.727,216067,0.815,0.0,3,0.231,-2.454,1,0.153,176.075,4,0.677
