Position,Track Name,Artist,Streams,URL,Date,Track Id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
22,Bubalu,Becky G,157734,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-02,7dNwJbsT0sg1le5kVugGJb,0.616,0.8,228493,0.355,0.0,6,0.118,-10.47,0,0.0895,145.929,4,0.253
23,No Es Justo,J Balvin,154503,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,2019-01-02,5qFeMRz4TvetPmzjre9Dq7,0.161,0.684,250840,0.811,0.000363,7,0.0871,-4.494,1,0.0714,87.866,4,0.721
24,Solo de Mi,Bad Bunny,154268,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-02,4uP3pUP18ennmz0tb3GphR,0.287,0.743,197968,0.73,8.1e-05,10,0.0778,-4.314,0,0.125,179.972,4,0.15
25,Happier,Marshmello,153447,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019-01-02,2dpaYNEQHiRxtZbfNsse99,0.191,0.687,214290,0.792,0.0,5,0.167,-2.749,1,0.0452,100.015,4,0.671
26,Reggaeton,J Balvin,152352,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019-01-02,2D3z17LBMJ2HEHeBFFjTLi,0.0165,0.747,158800,0.74,9.94e-05,4,0.101,-4.325,0,0.191,176.059,4,0.552
27,En Peligro de Extinción,La Adictiva Banda San José de Mesillas,151689,https://open.spotify.com/track/45sVRPegWSGpIcsrDoaaCY,2019-01-02,45sVRPegWSGpIcsrDoaaCY,0.219,0.709,234198,0.483,2.33e-06,0,0.241,-3.734,1,0.0281,123.566,4,0.834
28,Rucón,Aleman,145044,https://open.spotify.com/track/6TDtGJSk3MDTnM6nTDu5Zu,2019-01-02,6TDtGJSk3MDTnM6nTDu5Zu,0.0196,0.863,168560,0.59,0.0,1,0.093,-8.768,1,0.5,161.98,4,0.579
29,Te Boté - Remix,Nio Garcia,141836,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,2019-01-02,3V8UKqhEK5zBkBb6d6ub8i,0.542,0.903,417920,0.675,1.28e-05,11,0.0595,-3.445,0,0.214,96.507,4,0.442
30,Mejor Me Alejo,Banda Sinaloense MS de Sergio Lizárraga,138147,https://open.spotify.com/track/5OUGSwa2eadrcAsMdUItmO,2019-01-02,5OUGSwa2eadrcAsMdUItmO,0.206,0.823,201960,0.378,3.95e-06,0,0.106,-6.906,1,0.0431,124.084,4,0.54
31,Promises (with Sam Smith),Calvin Harris,137386,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019-01-02,5N5k9nd479b1xpDZ4usjrg,0.0119,0.781,213309,0.768,4.91e-06,11,0.325,-5.991,1,0.0394,123.07,4,0.486
32,Nunca Es Suficiente,Los Angeles Azules,136535,https://open.spotify.com/track/63USmok1OioBzKuWGW9wAg,2019-01-02,63USmok1OioBzKuWGW9wAg,0.398,0.789,266213,0.518,0.0,2,0.0891,-5.417,0,0.0406,94.001,4,0.78
